status,cz_title,en_title,year,episode_count,categories,sample_video_id,sample_url,sample_title,reason,closest_db_match
in_db,Lucifer - Monstrum,,,1,serialy-cz-sk,49760,https://online.sktorrent.eu/video/49760/lucifer-monstrum-s02e06,Lucifer - Monstrum (S02E06),hard:1/1 eps already linked,
in_db,Lucifer - Kazisvět,,,1,serialy-cz-sk,49759,https://online.sktorrent.eu/video/49759/lucifer-kazisvět-s02e09,Lucifer - Kazisvět (S02E09),hard:1/1 eps already linked,
in_db,Lucifer - Moje malá opička,,,1,serialy-cz-sk,49758,https://online.sktorrent.eu/video/49758/lucifer-moje-malá-opička-s02e07,Lucifer - Moje malá opička (S02E07),hard:1/1 eps already linked,
in_db,Lucifer - Kousky dámy,,,1,serialy-cz-sk,49757,https://online.sktorrent.eu/video/49757/lucifer-kousky-dámy-s02e04,Lucifer - Kousky dámy (S02E04),hard:1/1 eps already linked,
in_db,Lucifer - Hra se zbraněmi,,,1,serialy-cz-sk,49756,https://online.sktorrent.eu/video/49756/lucifer-hra-se-zbraněmi-s02e05,Lucifer - Hra se zbraněmi (S02E05),hard:1/1 eps already linked,
in_db,"Lucifer - Všechno přijde, Lucifere",,,1,serialy-cz-sk,49755,https://online.sktorrent.eu/video/49755/lucifer-všechno-přijde-lucifere-s02e01,"Lucifer - Všechno přijde, Lucifere (S02E01)",hard:1/1 eps already linked,
in_db,"Lucifer - Kdo lže, shoří v pekle",,,1,serialy-cz-sk,49754,https://online.sktorrent.eu/video/49754/lucifer-kdo-lže-shoří-v-pekle-s02e02,"Lucifer - Kdo lže, shoří v pekle (S02E02)",hard:1/1 eps already linked,
in_db,Lucifer - Požírač hříchů,,,1,serialy-cz-sk,49753,https://online.sktorrent.eu/video/49753/lucifer-požírač-hříchů-s02e03,Lucifer - Požírač hříchů (S02E03),hard:1/1 eps already linked,
in_db,Ludwig: Šifra zločinu -  Past na myši,,,1,serialy-cz-sk,47416,https://online.sktorrent.eu/video/47416/ludwig-Šifra-zločinu-past-na-myši-e04,Ludwig: Šifra zločinu -  Past na myši (E04),hard:1/1 eps already linked,
in_db,Ludwig: Šifra zločinu - Průvodkyně,,,1,serialy-cz-sk,47415,https://online.sktorrent.eu/video/47415/ludwig-Šifra-zločinu-průvodkyně-e03,Ludwig: Šifra zločinu - Průvodkyně (E03),hard:1/1 eps already linked,
in_db,Ludwig: Šifra zločinu - Předtucha,,,1,serialy-cz-sk,47414,https://online.sktorrent.eu/video/47414/ludwig-Šifra-zločinu-předtucha-e02,Ludwig: Šifra zločinu - Předtucha (E02),hard:1/1 eps already linked,
in_db,Ludwig: Šifra zločinu - Zmizení,,,1,serialy-cz-sk,47413,https://online.sktorrent.eu/video/47413/ludwig-Šifra-zločinu-zmizení-e01,Ludwig: Šifra zločinu - Zmizení (E01),hard:1/1 eps already linked,
in_db,Sľub S01E110,,,1,serialy-cz-sk,47079,https://online.sktorrent.eu/video/47079/sľub-s01e110-sk,Sľub S01E110 (SK),hard:1/1 eps already linked,
in_db,Signora Volpe,,,1,serialy-cz-sk,46389,https://online.sktorrent.eu/video/46389/signora-volpe-s01e01-cz,Signora Volpe S01E01 cz,hard:1/1 eps already linked,
in_db,Profesionáli Bobor je šéf,,,1,serialy-cz-sk,44066,https://online.sktorrent.eu/video/44066/profesionáli-bobor-je-šéf-s03e16,Profesionáli Bobor je šéf (S03E16),hard:1/1 eps already linked,
in_db,Profesionáli Nesprávny šéf,,,1,serialy-cz-sk,44065,https://online.sktorrent.eu/video/44065/profesionáli-nesprávny-šéf-s03e15,Profesionáli Nesprávny šéf (S03E15),hard:1/1 eps already linked,
in_db,Profesionáli Degradácia,,,1,serialy-cz-sk,44064,https://online.sktorrent.eu/video/44064/profesionáli-degradácia-s03e14,Profesionáli Degradácia (S03E14),hard:1/1 eps already linked,
in_db,Profesionáli Šéf je paroháč,,,1,serialy-cz-sk,44063,https://online.sktorrent.eu/video/44063/profesionáli-Šéf-je-paroháč-s03e13,Profesionáli Šéf je paroháč (S03E13),hard:1/1 eps already linked,
in_db,Profesionáli Návrat Iris,,,1,serialy-cz-sk,44062,https://online.sktorrent.eu/video/44062/profesionáli-návrat-iris-s03e12,Profesionáli Návrat Iris (S03E12),hard:1/1 eps already linked,
in_db,Profesionáli Prekliaty Fero,,,1,serialy-cz-sk,44060,https://online.sktorrent.eu/video/44060/profesionáli-prekliaty-fero-s03e10,Profesionáli Prekliaty Fero (S03E10),hard:1/1 eps already linked,
in_db,Profesionáli Halloweenski zlodeji,,,1,serialy-cz-sk,44059,https://online.sktorrent.eu/video/44059/profesionáli-halloweenski-zlodeji-s03e09,Profesionáli Halloweenski zlodeji (S03E09),hard:1/1 eps already linked,
in_db,Profesionáli Tehotná Scarlet,,,1,serialy-cz-sk,44051,https://online.sktorrent.eu/video/44051/profesionáli-tehotná-scarlet-s03e08,Profesionáli Tehotná Scarlet (S03E08),hard:1/1 eps already linked,
in_db,Profesionáli Brat,,,1,serialy-cz-sk,44050,https://online.sktorrent.eu/video/44050/profesionáli-brat-s03e07,Profesionáli Brat (S03E07),hard:1/1 eps already linked,
in_db,Profesionáli-Návrat Rabiho,,,1,serialy-cz-sk,44049,https://online.sktorrent.eu/video/44049/profesionáli-návrat-rabiho-s03e06,Profesionáli-Návrat Rabiho (S03E06),hard:1/1 eps already linked,
in_db,Profesionáli -Detektívka,,,1,serialy-cz-sk,43981,https://online.sktorrent.eu/video/43981/profesionáli-detektívka-s03e04,Profesionáli -Detektívka (S03E04),hard:1/1 eps already linked,
in_db,Profesionáli -Biankin asistent,,,1,serialy-cz-sk,43980,https://online.sktorrent.eu/video/43980/profesionáli-biankin-asistent-s03e03,Profesionáli -Biankin asistent (S03E03),hard:1/1 eps already linked,
in_db,Profesionáli -Sára a sexizmus,,,1,serialy-cz-sk,43979,https://online.sktorrent.eu/video/43979/profesionáli-sára-a-sexizmus-s03e02,Profesionáli -Sára a sexizmus (S03E02),hard:1/1 eps already linked,
in_db,Profesionálové -Nudisti,,,1,serialy-cz-sk,43657,https://online.sktorrent.eu/video/43657/profesionálové-nudisti-s02e15,Profesionálové -Nudisti (S02E15),hard:1/1 eps already linked,
in_db,Profesionálové -Poslankyňa,,,1,serialy-cz-sk,43656,https://online.sktorrent.eu/video/43656/profesionálové-poslankyňa-s02e14,Profesionálové -Poslankyňa (S02E14),hard:1/1 eps already linked,
in_db,Profesionálové -Čierna vdova,,,1,serialy-cz-sk,43655,https://online.sktorrent.eu/video/43655/profesionálové-Čierna-vdova-s02e13,Profesionálové -Čierna vdova (S02E13),hard:1/1 eps already linked,
in_db,Profesionálové -Polícia má talent,,,1,serialy-cz-sk,43654,https://online.sktorrent.eu/video/43654/profesionálové-polícia-má-talent-s02e12,Profesionálové -Polícia má talent (S02E12),hard:1/1 eps already linked,
in_db,Profesionálové -Sárin orgazmus,,,1,serialy-cz-sk,43653,https://online.sktorrent.eu/video/43653/profesionálové-sárin-orgazmus-s02e11,Profesionálové -Sárin orgazmus (S02E11),hard:1/1 eps already linked,
in_db,Profesionálové -Hajzlákoví zlodeji,,,1,serialy-cz-sk,43652,https://online.sktorrent.eu/video/43652/profesionálové-hajzlákoví-zlodeji-s02e10,Profesionálové -Hajzlákoví zlodeji (S02E10),hard:1/1 eps already linked,
in_db,Profesionálové -Statočné srdce,,,1,serialy-cz-sk,43650,https://online.sktorrent.eu/video/43650/profesionálové-statočné-srdce-s02e09,Profesionálové -Statočné srdce (S02E09),hard:1/1 eps already linked,
in_db,Profesionálové -Miňo opäť policajtom,,,1,serialy-cz-sk,43648,https://online.sktorrent.eu/video/43648/profesionálové-miňo-opäť-policajtom-s02e08,Profesionálové -Miňo opäť policajtom (S02E08),hard:1/1 eps already linked,
in_db,Profesionálové -Karoly a Skajka,,,1,serialy-cz-sk,43647,https://online.sktorrent.eu/video/43647/profesionálové-karoly-a-skajka-s02e07,Profesionálové -Karoly a Skajka (S02E07),hard:1/1 eps already linked,
in_db,Profesionálové -Raper,,,1,serialy-cz-sk,43646,https://online.sktorrent.eu/video/43646/profesionálové-raper-s02e06,Profesionálové -Raper (S02E06),hard:1/1 eps already linked,
in_db,Profesionálové -Vodná kríza,,,1,serialy-cz-sk,43645,https://online.sktorrent.eu/video/43645/profesionálové-vodná-kríza-s02e05,Profesionálové -Vodná kríza (S02E05),hard:1/1 eps already linked,
in_db,Profesionálové PR a očistná diéta,,,1,serialy-cz-sk,43644,https://online.sktorrent.eu/video/43644/profesionálové-pr-a-očistná-diéta-s02e04,Profesionálové PR a očistná diéta (S02E04),hard:1/1 eps already linked,
in_db,Profesionálové_Rabín,,,1,serialy-cz-sk,43641,https://online.sktorrent.eu/video/43641/profesionálové-rabín-s02e01,Profesionálové_Rabín (S02E01),hard:1/1 eps already linked,
in_db,Harley Quinn,,,1,serialy-cz-sk,43061,https://online.sktorrent.eu/video/43061/harley-quinn-s05e01,Harley Quinn S05E01,hard:1/1 eps already linked,
in_db,Červený trpaslík - Série 1_ Rovnováha sil,,,1,serialy-cz-sk,39123,https://online.sktorrent.eu/video/39123/Červený-trpaslík-série-1-rovnováha-sil-s01e03,Červený trpaslík - Série 1_ Rovnováha sil (S01E03),hard:1/1 eps already linked,
in_db,Červený trpaslík - Série 1_Ozvěny budoucnosti,,,1,serialy-cz-sk,39122,https://online.sktorrent.eu/video/39122/Červený-trpaslík-série-1-ozvěny-budoucnosti-s01e02,Červený trpaslík - Série 1_Ozvěny budoucnosti (S01E02),hard:1/1 eps already linked,
in_db,Červený trpaslík - Série_1_Konec,,,1,serialy-cz-sk,39121,https://online.sktorrent.eu/video/39121/Červený-trpaslík-série-1-konec-s01e01,Červený trpaslík - Série_1_Konec (S01E01),hard:1/1 eps already linked,
in_db,Beverly Hills 90210- Bezva máma,,,1,serialy-cz-sk,38274,https://online.sktorrent.eu/video/38274/beverly-hills-90210-bezva-máma-s01e07,Beverly Hills 90210- Bezva máma S01E07,hard:1/1 eps already linked,
in_db,Beverly Hills 90210- Vyšší vzdělání,,,1,serialy-cz-sk,38272,https://online.sktorrent.eu/video/38272/beverly-hills-90210-vyšší-vzdělání-s01e06,Beverly Hills 90210- Vyšší vzdělání S01E06,hard:1/1 eps already linked,
in_db,Beverly Hills 90210- Muž proti muži,,,1,serialy-cz-sk,38270,https://online.sktorrent.eu/video/38270/beverly-hills-90210-muž-proti-muži-s01e05,Beverly Hills 90210- Muž proti muži S01E05,hard:1/1 eps already linked,
in_db,Beverly Hills 90210- Poprvé,,,1,serialy-cz-sk,38269,https://online.sktorrent.eu/video/38269/beverly-hills-90210-poprvé-s01e04,Beverly Hills 90210- Poprvé S01E04,hard:1/1 eps already linked,
in_db,Beverly Hills 90210- Každý sen něco stojí,,,1,serialy-cz-sk,38267,https://online.sktorrent.eu/video/38267/beverly-hills-90210-každý-sen-něco-stojí-s01e03,Beverly Hills 90210- Každý sen něco stojí S01E03,hard:1/1 eps already linked,
in_db,Škoda lásky - Zamilovaná,,,1,serialy-cz-sk,38119,https://online.sktorrent.eu/video/38119/Škoda-lásky-zamilovaná-s02e07,Škoda lásky - Zamilovaná S02E07,hard:1/1 eps already linked,
in_db,Škoda lásky - Srdce ženy,,,1,serialy-cz-sk,38118,https://online.sktorrent.eu/video/38118/Škoda-lásky-srdce-ženy-s02e06,Škoda lásky - Srdce ženy S02E06,hard:1/1 eps already linked,
in_db,Škoda lásky - Host u tabule,,,1,serialy-cz-sk,38117,https://online.sktorrent.eu/video/38117/Škoda-lásky-host-u-tabule-s02e05,Škoda lásky - Host u tabule S02E05,hard:1/1 eps already linked,
in_db,Škoda lásky - Divná Bára,,,1,serialy-cz-sk,38116,https://online.sktorrent.eu/video/38116/Škoda-lásky-divná-bára-s02e04,Škoda lásky - Divná Bára S02E04,hard:1/1 eps already linked,
in_db,Škoda lásky - Miška je kouzelná,,,1,serialy-cz-sk,38115,https://online.sktorrent.eu/video/38115/Škoda-lásky-miška-je-kouzelná-s02e03,Škoda lásky - Miška je kouzelná S02E03,hard:1/1 eps already linked,
